NGA,Polity,Section,Subsection,Variable,Value From,Value To,Date From,Date To,Fact Type,Value Note,Date Note,Comment
Ghanaian Coast,GhAshnE,Social Complexity variables,,RA,Eva Brandl,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,,Editor,Daniel Mullins,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,3,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Hierarchical Complexity,Administrative levels,4,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Hierarchical Complexity,Religious levels,3,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Hierarchical Complexity,Military levels,5,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Professions,Occupational complexity,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Professions,Professional military officers,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Professions,Professional soldiers,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Professions,Professional priesthood,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Bureaucracy characteristics,Source of support,governed population,,,,complex,list,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Bureaucracy characteristics,Source of support, land,,,,complex,list,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Bureaucracy characteristics,Examination system,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Bureaucracy characteristics,Merit promotion,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Law,Formal legal code,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Law,Judges,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Law,Courts,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Law,Professional Lawyers,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,markets,inferred present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,present,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,inferred absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Roads,inferred absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Bridges,absent,,,,simple,simple,,
Ghanaian Coast,GhAshnE,Social Complexity variables,Specialized Buildings: polity owned,Canals,absent,,,,simple,simple,,
